p[bar],phi
50.9,0.9989623028169641
51.0,0.9989804315245472
51.1,0.9989986433720532
51.2,0.9990169383732734
51.3,0.9990353165418867
51.4,0.9990537778914619
51.5,0.9990723224354566
51.6,0.9990909501872145
51.7,0.9991096611599692
51.8,0.9991284553668396
51.9,0.9991473328208326
52.0,0.9991662935348413
52.1,0.9991853375216457
52.2,0.99920446479391
52.3,0.9992236753641854
52.4,0.9992429692449077
52.5,0.9992623464483973
52.6,0.999281806986859
52.7,0.9993013508723819
52.8,0.9993209781169385
52.9,0.9993406887323841
53.0,0.9993604827304583
53.1,0.999380360122782
53.2,0.9994003209208586
53.3,0.9994203651360735
53.4,0.9994404927796934
53.5,0.9994607038628669
53.6,0.9994809983966217
53.7,0.9995013763918679
53.8,0.9995218378593936
53.9,0.9995423828098686
54.0,0.9995630112538396
54.1,0.9995837232017348
54.2,0.9996045186638592
54.3,0.9996253976503962
54.4,0.9996463601714078
54.5,0.9996674062368325
54.6,0.9996885358564868
54.7,0.9997097490400633
54.8,0.9997310457971313
54.9,0.9997524261371353
55.0,0.9997738900693972
55.1,0.9997954376031122
55.2,0.9998170687473518
55.3,0.9998387835110607
55.4,0.9998605819030588
55.5,0.9998824639320404
55.6,0.9999044296065713
55.7,0.9999264789350917
55.8,0.9999486119259142
55.9,0.9999708285872239
56.0,0.9999931289270776
56.1,1.0000155129534036
56.2,1.0000379806740018
56.3,1.0000605320965426
56.4,1.0000831672285668
56.5,1.000105886077486
56.6,1.000128688650581
56.7,1.0001515749550016
56.8,1.0001745449977675
56.9,1.0001975987857668
57.0,1.0002207363257551
57.1,1.0002439576243565
57.2,1.0002672626880638
57.3,1.000290651523234
57.4,1.000314124136094
57.5,1.0003376805327353
57.6,1.0003613207191164
57.7,1.0003850447010603
57.8,1.0004088524842571
57.9,1.00043274407426
58.0,1.0004567194764884
58.1,1.0004807786962246
58.2,1.0005049217386155
58.3,1.000529148608671
58.4,1.0005534593112646
58.5,1.000577853851133
58.6,1.0006023322328732
58.7,1.0006268944609473
58.8,1.0006515405396763
58.9,1.0006762704732433
59.0,1.0007010842656934
59.1,1.0007259819209309
59.2,1.0007509634427203
59.3,1.0007760288346872
59.4,1.0008011781003154
59.5,1.0008264112429481
59.6,1.0008517282657867
59.7,1.0008771291718919
59.8,1.0009026139641823
59.9,1.0009281826454326
60.0,1.0009538352182765
60.1,1.0009795716852037
60.2,1.0010053920485604
60.3,1.0010312963105492
60.4,1.001057284473228
60.5,1.0010833565385104
60.6,1.0011095125081657
60.7,1.0011357523838154
60.8,1.0011620761669384
60.9,1.0011884838588665
61.0,1.0012149754607835
61.1,1.0012415509737278
61.2,1.0012682103985908
61.3,1.0012949537361155
61.4,1.0013217809868982
61.5,1.0013486921513848
61.6,1.0013756872298745
61.7,1.0014027662225171
61.8,1.0014299291293125
61.9,1.0014571759501112
62.0,1.0014845066846136
62.1,1.0015119213323695
62.2,1.001539419892778
62.3,1.0015670023650871
62.4,1.0015946687483928
62.5,1.0016224190416394
62.6,1.0016502532436193
62.7,1.0016781713529714
62.8,1.001706173368183
62.9,1.0017342592875862
63.0,1.0017624291093608
63.1,1.001790682831532
63.2,1.0018190204519704
63.3,1.0018474419683923
63.4,1.001875947378358
63.5,1.0019045366792725
63.6,1.001933209868386
63.7,1.001961966942791
63.8,1.001990807899424
63.9,1.0020197327350648
64.0,1.0020487414463348
64.1,1.0020778340296994
64.2,1.0021070104814642
64.3,1.0021362707977777
64.4,1.0021656149746287
64.5,1.0021950430078477
64.6,1.002224554893105
64.7,1.002254150625912
64.8,1.0022838302016184
64.9,1.0023135936154146
65.0,1.0023434408623304
65.1,1.002373371937233
65.2,1.0024033868348288
65.3,1.0024334855496622
65.4,1.0024636680761154
65.5,1.0024939344084074
65.6,1.0025242845405953
65.7,1.0025547184665713
65.8,1.0025852361800651
65.9,1.0026158376746421
66.0,1.0026465229437018
66.1,1.0026772919804818
66.2,1.002708144778052
66.3,1.0027390813293182
66.4,1.00277010162702
66.5,1.0028012056637308
66.6,1.002832393431858
66.7,1.0028636649236407
66.8,1.0028950201311526
66.9,1.0029264590462983
67.0,1.0029579816608163
67.1,1.0029895879662751
67.2,1.0030212779540753
67.3,1.0030530516154488
67.4,1.0030849089414577
67.5,1.0031168499229957
67.6,1.003148874550786
67.7,1.0031809828153788
67.8,1.0032131747071582
67.9,1.0032454502163355
68.0,1.0032778093329493
68.1,1.003310252046868
68.2,1.0033427783477875
68.3,1.003375388225232
68.4,1.0034080816685527
68.5,1.003440858666928
68.6,1.0034737192093615
68.7,1.0035066632846852
68.8,1.0035396908815566
68.9,1.0035728019884578
69.0,1.0036059965936983
69.1,1.0036392746854097
69.2,1.003672636251551
69.3,1.003706081279904
69.4,1.003739609758075
69.5,1.0037732216734947
69.6,1.0038069170134156
69.7,1.0038406957649146
69.8,1.003874557914891
69.9,1.0039085034500659
70.0,1.0039425323569833
70.1,1.003976644622008
70.2,1.0040108402313273
70.3,1.0040451191709487
70.4,1.004079481426702
70.5,1.0041139269842347
70.6,1.0041484558290175
70.7,1.0041830679463382
70.8,1.0042177633213072
70.9,1.0042525419388504
71.0,1.004287403783716
71.1,1.0043223488404682
71.2,1.0043573770934915
71.3,1.0043924885269864
71.4,1.004427683124972
71.5,1.0044629608712854
71.6,1.0044983217495798
71.7,1.004533765743325
71.8,1.0045692928358076
71.9,1.00460490301013
72.0,1.004640596249211
72.1,1.004676372535784
72.2,1.0047122318523973
72.3,1.004748174181416
72.4,1.0047841995050177
72.5,1.0048203078051952
72.6,1.004856499063755
72.7,1.004892773262317
72.8,1.0049291303823151
72.9,1.0049655704049962
73.0,1.0050020933114192
73.1,1.0050386990824565
73.2,1.005075387698791
73.3,1.0051121591409204
73.4,1.0051490133891505
73.5,1.0051859504236011
73.6,1.005222970224202
73.7,1.0052600727706926
73.8,1.0052972580426254
73.9,1.0053345260193607
74.0,1.0053718766800692
